portable operating systems
Found 100 hits.
1. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-3127.html score=1.1755296
2. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-1461.html score=0.50642985
3. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-3068.html score=0.40902123
4. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2246.html score=0.3299833
5. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2111.html score=0.3230007
6. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2069.html score=0.31651866
7. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2740.html score=0.30766326
8. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2319.html score=0.30766326
9. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-1462.html score=0.28890023
10. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-1728.html score=0.28890023
11. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2597.html score=0.28045723
12. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2629.html score=0.28045723
13. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-1750.html score=0.2741132
14. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2372.html score=0.26916727
15. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2482.html score=0.26857498
16. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-1247.html score=0.26857498
17. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2080.html score=0.26857498
18. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2867.html score=0.26857498
19. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2379.html score=0.26133278
20. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-1923.html score=0.25321493
21. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-1680.html score=0.24681911
22. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2840.html score=0.24135262
23. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-3025.html score=0.24135262
24. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2621.html score=0.23838985
25. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2378.html score=0.23371433
26. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2632.html score=0.23371433
27. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2541.html score=0.23371433
28. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-1747.html score=0.23342077
29. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2317.html score=0.23112017
30. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2424.html score=0.22735322
31. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2138.html score=0.22647284
32. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2151.html score=0.22647284
33. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2950.html score=0.2238125
34. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-1751.html score=0.2238125
35. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2320.html score=0.2238125
36. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-3196.html score=0.22226858
37. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-3174.html score=0.22156307
38. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-1930.html score=0.21998885
39. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-3141.html score=0.21734169
40. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-1226.html score=0.21734169
41. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2522.html score=0.21344522
42. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-1951.html score=0.21344522
43. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-1324.html score=0.21344522
44. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-1236.html score=0.20095375
45. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2777.html score=0.20095375
46. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-1752.html score=0.20095375
47. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2624.html score=0.1986582
48. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-0322.html score=0.1986582
49. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-3026.html score=0.1986582
50. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2358.html score=0.1930821
51. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2374.html score=0.18991122
52. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-3137.html score=0.18991122
53. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2036.html score=0.18111807
54. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-3028.html score=0.18111807
55. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2184.html score=0.160763
56. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2297.html score=0.160763
57. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2622.html score=0.160763
58. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2625.html score=0.15892656
59. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-1892.html score=0.15892656
60. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2972.html score=0.15825933
61. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2582.html score=0.15825933
62. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-1647.html score=0.15825933
63. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-3006.html score=0.15825933
64. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2095.html score=0.15825933
65. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-0696.html score=0.15825933
66. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-3050.html score=0.15825933
67. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-3105.html score=0.15825933
68. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2796.html score=0.14430283
69. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-1069.html score=0.14430283
70. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-1755.html score=0.14430283
71. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-1810.html score=0.12660746
72. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2542.html score=0.12660746
73. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-1877.html score=0.12660746
74. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-1517.html score=0.12660746
75. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2342.html score=0.12660746
76. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-3002.html score=0.12660746
77. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-1854.html score=0.12660746
78. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2535.html score=0.12660746
79. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2849.html score=0.12660746
80. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-1050.html score=0.10307345
81. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-1472.html score=0.10203751
82. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-1591.html score=0.092191696
83. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2357.html score=0.08926423
84. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2920.html score=0.08926423
85. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2868.html score=0.08926423
86. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-1360.html score=0.08829741
87. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-0018.html score=0.08829741
88. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-0025.html score=0.08829741
89. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-0597.html score=0.08829741
90. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-0652.html score=0.08829741
91. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-1464.html score=0.08746072
92. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2407.html score=0.08637957
93. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2311.html score=0.08637957
94. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2345.html score=0.08110635
95. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2583.html score=0.07804462
96. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2818.html score=0.07726023
97. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-1912.html score=0.07726023
98. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2995.html score=0.07726023
99. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-0651.html score=0.07726023
100. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-0795.html score=0.07726023
portable operating systems Term Frequency 0 - Document Frequency 0

code optimization for space efficiency
Found 100 hits.
1. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-1795.html score=0.6433607
2. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2495.html score=0.5975388
3. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-1947.html score=0.55358064
4. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2748.html score=0.52805805
5. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2559.html score=0.49512124
6. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-1886.html score=0.4464943
7. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2897.html score=0.43845537
8. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2904.html score=0.3866211
9. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-3080.html score=0.38378346
10. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2491.html score=0.37790465
11. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2680.html score=0.3617514
12. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2537.html score=0.35688043
13. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-3171.html score=0.34717187
14. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2464.html score=0.3463531
15. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-1195.html score=0.33872896
16. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2253.html score=0.327389
17. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2944.html score=0.3262005
18. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2929.html score=0.3194167
19. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-1655.html score=0.30843353
20. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2716.html score=0.28948984
21. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2423.html score=0.2744149
